sim_idx,n_flows,wall_clock_s,n_perturbations
0,272,49.909,50
1,272,10.955,50
2,272,11.953,50
3,272,9.686,50
4,272,9.715,50
5,272,12.516,50
6,272,11.966,50
7,272,24.442,50
8,272,15.313,50
9,272,15.309,50
10,272,9.042,50
11,272,7.02,50
12,272,7.875,50
13,272,11.797,50
14,272,12.859,50
15,272,12.253,50
16,272,8.223,50
17,272,11.019,50
18,272,9.018,50
19,272,11.044,50
20,272,9.29,50
21,272,8.598,50
22,272,8.57,50
23,272,9.815,50
24,272,8.413,50
25,272,8.039,50
26,272,7.923,50
27,272,8.042,50
28,272,8.135,50
29,272,9.438,50
30,272,10.137,50
31,272,8.144,50
32,272,8.682,50
33,272,7.891,50
34,272,7.548,50
35,272,6.836,50
36,272,10.561,50
37,272,10.902,50
38,272,14.198,50
39,272,12.439,50
40,272,10.009,50
41,272,10.73,50
42,272,9.032,50
43,272,8.746,50
44,272,9.235,50
45,272,9.535,50
46,272,8.976,50
47,272,7.76,50
48,272,9.58,50
49,272,12.886,50
50,272,7.744,50
51,272,8.028,50
52,272,16.155,50
53,272,15.547,50
54,272,10.37,50
55,272,10.611,50
56,272,15.803,50
57,272,9.543,50
58,272,7.333,50
59,272,7.176,50
60,272,7.259,50
61,272,6.946,50
62,272,8.03,50
63,272,9.155,50
64,272,9.466,50
65,272,10.05,50
66,272,8.463,50
67,272,11.286,50
68,272,10.932,50
69,272,7.442,50
70,272,8.998,50
71,272,7.735,50
72,272,9.759,50
73,272,7.277,50
74,272,10.794,50
75,272,10.176,50
76,272,16.766,50
77,272,8.516,50
78,272,8.344,50
79,272,9.189,50
80,272,10.623,50
81,272,12.965,50
82,272,9.426,50
83,272,21.685,50
84,272,14.559,50
85,272,9.677,50
86,272,8.932,50
87,272,13.601,50
88,272,14.721,50
89,272,13.485,50
90,272,9.736,50
91,272,9.028,50
92,272,9.294,50
93,272,10.068,50
94,272,17.909,50
95,272,13.265,50
96,272,22.281,50
97,272,12.73,50
98,272,10.906,50
99,272,7.534,50
100,272,7.271,50
101,272,7.063,50
102,272,7.188,50
103,272,6.972,50
104,272,8.545,50
105,272,11.426,50
106,272,8.916,50
107,272,8.131,50
108,272,11.918,50
109,272,16.858,50
110,272,7.882,50
111,272,10.655,50
112,272,8.893,50
113,272,9.019,50
114,272,12.695,50
115,272,8.313,50
116,272,6.959,50
117,272,7.603,50
118,272,8.992,50
119,272,8.963,50
120,272,9.753,50
121,272,7.082,50
122,272,6.849,50
123,272,7.198,50
124,272,7.316,50
125,272,8.087,50
126,272,7.184,50
127,272,6.918,50
128,272,7.985,50
129,272,9.995,50
130,272,7.612,50
131,272,7.211,50
132,272,6.632,50
133,272,9.738,50
134,272,8.12,50
135,272,8.291,50
136,272,9.193,50
137,272,11.447,50
138,272,8.963,50
139,272,16.281,50
140,272,11.413,50
141,272,7.706,50
142,272,7.418,50
143,272,7.326,50
144,272,6.356,50
145,272,9.028,50
146,272,6.626,50
147,272,6.788,50
148,272,6.332,50
149,272,8.048,50
150,272,8.589,50
151,272,6.665,50
152,272,7.085,50
153,272,6.551,50
154,272,8.631,50
155,272,8.644,50
156,272,7.059,50
157,272,6.76,50
158,272,12.782,50
159,272,17.904,50
160,272,8.199,50
161,272,8.076,50
162,272,7.909,50
163,272,9.201,50
164,272,7.531,50
165,272,7.097,50
166,272,5.183,50
167,272,5.132,50
168,272,5.377,50
169,272,5.437,50
170,272,5.144,50
171,272,4.863,50
172,272,4.855,50
173,272,5.514,50
174,272,5.744,50
175,272,5.692,50
176,272,5.613,50
177,272,7.745,50
178,272,5.309,50
179,272,5.853,50
180,272,5.142,50
181,272,5.467,50
182,272,4.945,50
183,272,5.067,50
184,272,5.265,50
185,272,4.964,50
186,272,4.948,50
187,272,5.005,50
188,272,4.847,50
189,272,4.853,50
190,272,5.04,50
191,272,4.957,50
192,272,4.981,50
193,272,5.278,50
194,272,4.845,50
195,272,4.961,50
196,272,5.154,50
197,272,5.476,50
198,272,4.958,50
199,272,5.123,50
200,272,4.871,50
201,272,4.852,50
202,272,5.101,50
203,272,5.102,50
204,272,5.295,50
205,272,5.787,50
206,272,6.962,50
207,272,9.3,50
208,272,7.951,50
209,272,7.331,50
210,272,4.912,50
211,272,5.034,50
212,272,8.6,50
213,272,8.314,50
214,272,11.594,50
215,272,5.315,50
216,272,5.778,50
217,272,5.043,50
218,272,5.623,50
219,272,7.794,50
220,272,13.337,50
221,272,7.328,50
222,272,8.133,50
223,272,7.942,50
224,272,6.506,50
225,272,8.598,50
226,272,7.571,50
227,272,9.437,50
228,272,9.32,50
229,272,7.297,50
230,272,6.979,50
231,272,7.233,50
232,272,7.195,50
233,272,7.317,50
234,272,7.408,50
235,272,7.768,50
236,272,9.86,50
237,272,12.203,50
238,272,8.5,50
239,272,8.031,50
240,272,6.493,50
241,272,6.062,50
242,272,9.968,50
243,272,7.078,50
244,272,7.14,50
245,272,6.797,50
246,272,7.224,50
247,272,7.629,50
248,272,8.562,50
249,272,8.213,50
250,272,7.886,50
251,272,7.154,50
252,272,7.337,50
253,272,7.314,50
254,272,7.036,50
255,272,6.756,50
256,272,6.87,50
257,272,6.906,50
258,272,8.156,50
259,272,9.917,50
260,272,7.821,50
261,272,14.753,50
262,272,11.252,50
263,272,6.629,50
264,272,7.153,50
265,272,7.93,50
266,272,7.223,50
267,272,7.263,50
268,272,7.194,50
269,272,7.319,50
270,272,9.44,50
271,272,11.299,50
272,272,9.584,50
273,272,8.146,50
274,272,7.737,50
275,272,7.912,50
276,272,10.336,50
277,272,9.097,50
278,272,14.412,50
279,272,8.76,50
280,272,7.295,50
281,272,8.801,50
282,272,7.191,50
283,272,7.417,50
284,272,7.804,50
285,272,19.335,50
286,272,7.64,50
287,272,7.228,50
288,272,6.833,50
289,272,6.235,50
290,272,6.211,50
291,272,5.532,50
292,272,5.936,50
293,272,5.607,50
294,272,6.748,50
295,272,5.894,50
296,272,6.549,50
297,272,6.642,50
298,272,5.535,50
299,272,6.635,50
